,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2022-9-1-morning,2022-9-1-morning,60.0,60.0,"                 Mean  Count       STD
smell value                           
1.0          0.000000      1       NaN
3.0          0.014788      3  0.024638
5.0          0.036650      1       NaN","                 Mean  Count       STD
smell value                           
1.0          0.000000      1       NaN
3.0          0.014788      3  0.024638
5.0          0.036650      1       NaN",0.5944374006182097,0.5944374006182097
2022-9-1-afternoon,2022-9-1-afternoon,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2022-9-2-morning,2022-9-2-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.021109      4  0.027941
4.0          0.033719      4  0.032607
5.0          0.690110      1       NaN","                 Mean  Count       STD
smell value                           
3.0          0.021109      4  0.027941
4.0          0.033719      4  0.032607
5.0          0.690110      1       NaN",0.7218998273147075,0.7218998273147075
2022-9-2-afternoon,2022-9-2-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
2.0          0.002897      2  0.003996
3.0          0.006703      2  0.003457
4.0          0.034220      4  0.056391
5.0          0.006717      1       NaN","                 Mean  Count       STD
smell value                           
2.0          0.002897      2  0.003996
3.0          0.006703      2  0.003457
4.0          0.034220      4  0.056391
5.0          0.006717      1       NaN",0.23510557898672588,0.23510557898672588
2022-9-3-morning,2022-9-3-morning,92.85714285714286,92.85714285714286,"                 Mean  Count       STD
smell value                           
1.0          0.000000      1       NaN
2.0          0.124495      1       NaN
3.0          0.152149      4  0.153608
3.5          0.004470      1       NaN
4.0          0.094242      2  0.019612
5.0          0.169767      5  0.207461","                 Mean  Count       STD
smell value                           
1.0          0.000000      1       NaN
2.0          0.124495      1       NaN
3.0          0.152149      4  0.153608
4.0          0.094242      2  0.019612
5.0          0.169422      4  0.239554
7.0          0.004470      1       NaN
10.0         0.171147      1       NaN",0.22846360902463939,0.08169943409410092
2022-9-3-afternoon,2022-9-3-afternoon,50.0,50.0,"                 Mean  Count  STD
smell value                      
1.0          0.000000      1  NaN
3.0          0.001373      1  NaN
4.0          0.000000      1  NaN
5.0          0.006923      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000000      1  NaN
3.0          0.001373      1  NaN
4.0          0.000000      1  NaN
5.0          0.006923      1  NaN",0.6969310510378506,0.6969310510378506
2022-9-4-morning,2022-9-4-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.015827      2  0.003749
4.0          0.017711      1       NaN","                 Mean  Count       STD
smell value                           
3.0          0.015827      2  0.003749
4.0          0.017711      1       NaN",0.3796326529236593,0.3796326529236593
2022-9-4-afternoon,2022-9-4-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.028049      2  0.013458
4.0          0.029377      3  0.046940
4.5          0.015980      1       NaN","                 Mean  Count       STD
smell value                           
3.0          0.028049      2  0.013458
4.0          0.029377      3  0.046940
9.0          0.015980      1       NaN",-0.08555704886994385,-0.16215369487683465
2022-9-5-morning,2022-9-5-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.003650      1       NaN
4.0          0.028625      3  0.022772
5.0          0.054008      2  0.036161","                 Mean  Count       STD
smell value                           
3.0          0.003650      1       NaN
4.0          0.028625      3  0.022772
5.0          0.054008      2  0.036161",0.6591395750724321,0.6591395750724321
2022-9-5-afternoon,2022-9-5-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
2.0          0.002063      1       NaN
4.0          0.000220      2  0.000302
5.0          0.047604      1       NaN","                 Mean  Count       STD
smell value                           
2.0          0.002063      1       NaN
4.0          0.000220      2  0.000302
5.0          0.047604      1       NaN",0.6339752265820437,0.6339752265820437
2022-9-6-morning,2022-9-6-morning,33.33333333333333,33.33333333333333,"                 Mean  Count  STD
smell value                      
1.0          0.021135      1  NaN
2.0          0.000000      1  NaN
4.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.021135      1  NaN
2.0          0.000000      1  NaN
4.0          0.000000      1  NaN",-0.7559289460184545,-0.7559289460184545
2022-9-6-afternoon,2022-9-6-afternoon,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000212      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000212      1  NaN",,
2022-9-7-morning,2022-9-7-morning,50.0,50.0,"                 Mean  Count       STD
smell value                           
2.0          0.428391      1       NaN
3.0          0.000000      1       NaN
4.0          0.007195      2  0.010175","                 Mean  Count       STD
smell value                           
2.0          0.428391      1       NaN
3.0          0.000000      1       NaN
4.0          0.007195      2  0.010175",-0.8620617068062382,-0.8620617068062382
2022-9-7-afternoon,2022-9-7-afternoon,0.0,0.0,"             Mean  Count  STD
smell value                  
2.5           0.0      1  NaN
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
5.0           0.0      1  NaN",,
