,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2019-11-1-morning,2019-11-1-morning,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      3  0.0
2.0           0.0      1  NaN
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      3  0.0
2.0           0.0      1  NaN
3.0           0.0      1  NaN",,
2019-11-1-afternoon,2019-11-1-afternoon,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      2  0.0
2.0           0.0      1  NaN
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      2  0.0
2.0           0.0      1  NaN
3.0           0.0      1  NaN",,
2019-11-2-morning,2019-11-2-morning,97.61904761904762,97.61904761904762,"                 Mean  Count       STD
smell value                           
2.500000     0.000000      1       NaN
3.000000     0.103414      9  0.095114
3.500000     0.099836      3  0.027318
4.000000     0.090375     12  0.075199
4.333333     0.063452      1       NaN
4.500000     0.077094      2  0.020505
5.000000     0.084858     14  0.069863","                 Mean  Count       STD
smell value                           
3.0          0.111460      8  0.098352
4.0          0.086959     11  0.077886
5.0          0.077041     14  0.072955
7.0          0.110631      2  0.028168
8.0          0.127958      1       NaN
9.0          0.064411      3  0.026322
13.0         0.063452      1       NaN
14.0         0.078247      1       NaN
15.0         0.109429      1       NaN",-0.0379319563158856,-0.06066374852392124
2019-11-2-afternoon,2019-11-2-afternoon,78.94736842105263,78.94736842105263,"                 Mean  Count       STD
smell value                           
1.0          0.009482      5  0.008794
2.0          0.003118      1       NaN
3.0          0.008214      5  0.004970
4.0          0.007601      6  0.009299
5.0          0.006824      2  0.005382","                 Mean  Count       STD
smell value                           
1.0          0.009482      5  0.008794
2.0          0.003118      1       NaN
3.0          0.008214      5  0.004970
4.0          0.007601      6  0.009299
5.0          0.006824      2  0.005382",-0.09597500227246061,-0.09597500227246061
2019-11-3-morning,2019-11-3-morning,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      2  0.0
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      2  0.0
5.0           0.0      1  NaN",,
2019-11-3-afternoon,2019-11-3-afternoon,50.0,50.0,"                 Mean  Count       STD
smell value                           
1.0          0.000002      3  0.000003
2.0          0.000003      2  0.000005
3.0          0.000002      2  0.000003
3.5          0.000007      1       NaN
4.0          0.000000      1       NaN
5.0          0.000036      1       NaN","                 Mean  Count       STD
smell value                           
1.0          0.000002      3  0.000003
2.0          0.000003      2  0.000005
3.0          0.000002      2  0.000003
4.0          0.000000      1       NaN
5.0          0.000036      1       NaN
7.0          0.000007      1       NaN",0.6208618758383888,0.4605694538964916
2019-11-4-morning,2019-11-4-morning,90.32258064516128,90.32258064516128,"                 Mean  Count       STD
smell value                           
2.000000     0.000000      3  0.000000
3.000000     0.112195     16  0.154993
3.333333     0.059491      1       NaN
3.500000     0.071390      2  0.035805
4.000000     0.102314     28  0.117591
4.333333     0.064045      1       NaN
4.500000     0.256522      1       NaN
5.000000     0.285216     10  0.737910","                 Mean  Count       STD
smell value                           
2.0          0.000000      3  0.000000
3.0          0.112195     16  0.154993
4.0          0.105448     27  0.118633
5.0          0.285216     10  0.737910
7.0          0.071390      2  0.035805
8.0          0.017712      1       NaN
9.0          0.256522      1       NaN
10.0         0.059491      1       NaN
13.0         0.064045      1       NaN",0.18625720313927005,0.04071913284794676
2019-11-4-afternoon,2019-11-4-afternoon,92.85714285714286,92.85714285714286,"                 Mean  Count       STD
smell value                           
1.0          0.007335      4  0.006987
3.0          0.001051      5  0.001323
3.5          0.006487      2  0.001107
4.0          0.018641     11  0.045397
4.5          0.008689      1       NaN
5.0          0.005904      5  0.005740","                 Mean  Count       STD
smell value                           
1.0          0.008476      3  0.008089
2.0          0.003912      1       NaN
3.0          0.001051      5  0.001323
4.0          0.018641     11  0.045397
5.0          0.005904      5  0.005740
7.0          0.006487      2  0.001107
9.0          0.008689      1       NaN",0.0668016915371868,0.016477160510632274
2019-11-5-morning,2019-11-5-morning,42.857142857142854,42.857142857142854,"                 Mean  Count       STD
smell value                           
1.0          0.011319      2  0.009004
2.0          0.000000      1       NaN
3.0          0.000000      2  0.000000
4.0          0.000000      1       NaN
4.5          0.000123      1       NaN","                 Mean  Count       STD
smell value                           
1.0          0.011319      2  0.009004
3.0          0.000000      2  0.000000
4.0          0.000000      2  0.000000
9.0          0.000123      1       NaN",-0.6758947356662065,-0.5363357828283044
2019-11-5-afternoon,2019-11-5-afternoon,16.666666666666664,16.666666666666664,"                 Mean  Count      STD
smell value                          
1.0          0.000000      1      NaN
3.0          0.002621      3  0.00454
4.0          0.000000      2  0.00000","                 Mean  Count      STD
smell value                          
1.0          0.000000      1      NaN
3.0          0.002621      3  0.00454
4.0          0.000000      2  0.00000",-2.4665016557010575e-17,-2.4665016557010575e-17
