,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2020-6-1-0,2020-6-1-0,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN",,
2020-6-1-2,2020-6-1-2,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      2  0.0","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN
10.0          0.0      1  NaN",,
2020-6-1-4,2020-6-1-4,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2020-6-1-9,2020-6-1-9,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.006886      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.006886      1  NaN",,
2020-6-1-10,2020-6-1-10,100.0,100.0,"                 Mean  Count      STD
smell value                          
3.5          0.001085      1      NaN
4.0          0.017523      2  0.02244","                 Mean  Count      STD
smell value                          
4.0          0.017523      2  0.02244
7.0          0.001085      1      NaN",0.5133170023979393,-0.5133170023979392
2020-6-1-11,2020-6-1-11,66.66666666666666,66.66666666666666,"                 Mean  Count       STD
smell value                           
4.0          0.004924      3  0.008491","                 Mean  Count       STD
smell value                           
4.0          0.004924      3  0.008491",,
2020-6-1-12,2020-6-1-12,50.0,50.0,"                 Mean  Count       STD
smell value                           
4.0          0.004765      4  0.009475","                 Mean  Count       STD
smell value                           
4.0          0.004765      4  0.009475",,
2020-6-1-13,2020-6-1-13,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.001969      1  NaN
4.0          0.006984      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.001969      1  NaN
4.0          0.006984      1  NaN",1.0,1.0
2020-6-1-15,2020-6-1-15,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
5.0           0.0      1  NaN",,
2020-6-1-18,2020-6-1-18,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.002944      1  NaN","                 Mean  Count  STD
smell value                      
6.0          0.002944      1  NaN",,
2020-6-1-20,2020-6-1-20,50.0,50.0,"                 Mean  Count  STD
smell value                      
1.0          0.000000      1  NaN
4.0          0.003546      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000000      1  NaN
4.0          0.003546      1  NaN",1.0,1.0
2020-6-1-22,2020-6-1-22,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2020-6-1-23,2020-6-1-23,0.0,0.0,,,,
2020-6-2-0,2020-6-2-0,50.0,50.0,"                 Mean  Count  STD
smell value                      
1.0          0.000293      1  NaN
3.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000293      1  NaN
3.0          0.000000      1  NaN",-1.0,-1.0
2020-6-2-1,2020-6-2-1,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
4.0           0.0      2  0.0","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
4.0           0.0      2  0.0",,
