,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2022-9-1-0,2022-9-1-0,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.004417      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.004417      1  NaN",,
2022-9-1-2,2022-9-1-2,100.0,100.0,"                 Mean  Count  STD
smell value                      
5.0          0.002307      1  NaN","                 Mean  Count  STD
smell value                      
5.0          0.002307      1  NaN",,
2022-9-1-9,2022-9-1-9,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN",,
2022-9-1-11,2022-9-1-11,100.0,100.0,"                 Mean  Count  STD
smell value                      
5.0          0.003844      1  NaN","                 Mean  Count  STD
smell value                      
5.0          0.003844      1  NaN",,
2022-9-1-12,2022-9-1-12,100.0,100.0,"                 Mean  Count      STD
smell value                          
3.0          0.003215      2  0.00354","                 Mean  Count      STD
smell value                          
3.0          0.003215      2  0.00354",,
2022-9-1-14,2022-9-1-14,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2022-9-1-23,2022-9-1-23,50.0,50.0,"               Mean  Count       STD
smell value                         
3.0          0.0001      2  0.000141","               Mean  Count       STD
smell value                         
3.0          0.0001      2  0.000141",,
2022-9-2-6,2022-9-2-6,100.0,100.0,"                 Mean  Count  STD
smell value                      
5.0          0.068436      1  NaN","                 Mean  Count  STD
smell value                      
5.0          0.068436      1  NaN",,
2022-9-2-11,2022-9-2-11,50.0,50.0,"                 Mean  Count       STD
smell value                           
3.0          0.001017      2  0.001438","                 Mean  Count       STD
smell value                           
3.0          0.001017      2  0.001438",,
2022-9-2-12,2022-9-2-12,66.66666666666666,66.66666666666666,"                 Mean  Count       STD
smell value                           
3.0          0.000000      1       NaN
4.0          0.006065      2  0.005162","                 Mean  Count       STD
smell value                           
3.0          0.000000      1       NaN
4.0          0.006065      2  0.005162",0.6922402931676545,0.6922402931676545
