,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2018-10-1-1,2018-10-1-1,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000114      1  NaN
5.0          0.023638      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000114      1  NaN
5.0          0.023638      1  NaN",1.0,1.0
2018-10-1-2,2018-10-1-2,100.0,100.0,"                 Mean  Count       STD
smell value                           
4.0          0.004338      2  0.002407
4.5          0.000113      1       NaN","                 Mean  Count  STD
smell value                      
4.0          0.002636      1  NaN
8.0          0.006040      1  NaN
9.0          0.000113      1  NaN",-0.8200975882647898,-0.1043194493762181
2018-10-1-3,2018-10-1-3,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000322      1  NaN
4.0          0.001361      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000322      1  NaN
4.0          0.001361      1  NaN",1.0,1.0
2018-10-1-4,2018-10-1-4,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.003323      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.003323      1  NaN",,
2018-10-1-5,2018-10-1-5,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2018-10-1-7,2018-10-1-7,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
4.0           0.0      1  NaN",,
2018-10-1-8,2018-10-1-8,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000295      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000295      1  NaN",,
2018-10-1-9,2018-10-1-9,80.0,80.0,"                 Mean  Count      STD
smell value                          
3.0          0.034161      2  0.04309
4.0          0.010920      1      NaN
5.0          0.008966      2  0.01268","                 Mean  Count      STD
smell value                          
3.0          0.034161      2  0.04309
4.0          0.010920      1      NaN
5.0          0.008966      2  0.01268",-0.4810590258476761,-0.4810590258476761
2018-10-1-10,2018-10-1-10,80.0,80.0,"                 Mean  Count       STD
smell value                           
1.0          0.000000      1       NaN
3.0          0.015073      2  0.008009
4.0          0.007220      4  0.007284
5.0          0.012376      8  0.012322","                 Mean  Count       STD
smell value                           
1.0          0.000000      1       NaN
3.0          0.015073      2  0.008009
4.0          0.006280      3  0.008619
5.0          0.012413      7  0.013308
8.0          0.010040      1       NaN
10.0         0.012119      1       NaN",0.22356512601192763,0.14304428430549282
2018-10-1-11,2018-10-1-11,90.47619047619048,90.47619047619048,"                 Mean  Count       STD
smell value                           
3.0          0.005530      7  0.003899
4.0          0.004415      8  0.004476
4.5          0.009526      2  0.006578
5.0          0.001234      4  0.001521","                 Mean  Count       STD
smell value                           
3.0          0.006143      6  0.003884
4.0          0.003487      7  0.003918
5.0          0.001234      4  0.001521
6.0          0.001851      1       NaN
8.0          0.010907      1       NaN
9.0          0.009526      2  0.006578",-0.22695657494943977,0.27591802861136266
2018-10-1-12,2018-10-1-12,83.33333333333334,83.33333333333334,"                 Mean  Count       STD
smell value                           
3.0          0.000414      2  0.000551
3.5          0.004417      1       NaN
4.0          0.002542     12  0.002762
5.0          0.000771      9  0.001156","                 Mean  Count       STD
smell value                           
3.0          0.000414      2  0.000551
4.0          0.002759     11  0.002788
5.0          0.000771      9  0.001156
7.0          0.004417      1       NaN
8.0          0.000158      1       NaN",-0.2252967910237037,-0.0842951330956845
2018-10-1-13,2018-10-1-13,87.5,87.5,"                 Mean  Count       STD
smell value                           
3.0          0.001991      3  0.002375
4.0          0.010961      2  0.009786
5.0          0.017558      3  0.028917","                 Mean  Count       STD
smell value                           
3.0          0.001991      3  0.002375
4.0          0.010961      2  0.009786
5.0          0.017558      3  0.028917",0.41164213442299613,0.41164213442299613
2018-10-1-14,2018-10-1-14,80.0,80.0,"                 Mean  Count      STD
smell value                          
1.0          0.000000      1      NaN
4.0          0.001622      3  0.00184
5.0          0.000017      1      NaN","                 Mean  Count      STD
smell value                          
1.0          0.000000      1      NaN
4.0          0.001622      3  0.00184
5.0          0.000017      1      NaN",0.20638449949649007,0.20638449949649007
2018-10-1-15,2018-10-1-15,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
4.0           0.0      1  NaN",,
2018-10-1-16,2018-10-1-16,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2018-10-1-21,2018-10-1-21,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
3.0           0.0      1  NaN",,
2018-10-1-22,2018-10-1-22,25.0,25.0,"                 Mean  Count  STD
smell value                      
1.0          0.000000      1  NaN
2.0          0.000057      1  NaN
4.0          0.000000      1  NaN
5.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000000      1  NaN
2.0          0.000057      1  NaN
4.0          0.000000      1  NaN
5.0          0.000000      1  NaN",-0.3651483716701106,-0.3651483716701106
2018-10-1-23,2018-10-1-23,50.0,50.0,"                 Mean  Count       STD
smell value                           
1.0          0.000247      2  0.000349","                 Mean  Count       STD
smell value                           
1.0          0.000247      2  0.000349",,
2018-10-2-1,2018-10-2-1,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2018-10-2-2,2018-10-2-2,16.666666666666664,16.666666666666664,"                 Mean  Count       STD
smell value                           
3.0          0.000000      2  0.000000
4.0          0.000049      3  0.000085
5.0          0.000000      1       NaN","                 Mean  Count       STD
smell value                           
3.0          0.000000      1       NaN
4.0          0.000049      3  0.000085
5.0          0.000000      1       NaN
6.0          0.000000      1       NaN",0.10846522890932805,-0.15811388300841892
2018-10-2-3,2018-10-2-3,50.0,50.0,"                 Mean  Count       STD
smell value                           
4.0          0.000668      5  0.001482
5.0          0.000003      1       NaN","                 Mean  Count       STD
smell value                           
4.0          0.000668      5  0.001482
5.0          0.000003      1       NaN",-0.20046308784093916,-0.20046308784093916
2018-10-2-4,2018-10-2-4,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.001689      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.001689      1  NaN",,
2018-10-2-5,2018-10-2-5,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.002264      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.002264      1  NaN",,
2018-10-2-7,2018-10-2-7,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000801      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000801      1  NaN",,
