,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2021-4-1-11,2021-4-1-11,0.0,0.0,"             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN",,
2021-4-1-13,2021-4-1-13,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2021-4-1-15,2021-4-1-15,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2021-4-1-17,2021-4-1-17,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.000033      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000033      1  NaN",,
2021-4-1-19,2021-4-1-19,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.000609      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.000609      1  NaN",,
2021-4-1-20,2021-4-1-20,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.001643      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.001643      1  NaN",,
2021-4-2-0,2021-4-2-0,50.0,50.0,"                 Mean  Count  STD
smell value                      
1.0          0.000000      1  NaN
4.0          0.001485      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000000      1  NaN
4.0          0.001485      1  NaN",1.0,1.0
2021-4-2-3,2021-4-2-3,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.017206      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.017206      1  NaN",,
2021-4-2-12,2021-4-2-12,0.0,0.0,"             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN",,
2021-4-2-14,2021-4-2-14,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2021-4-2-15,2021-4-2-15,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2021-4-2-16,2021-4-2-16,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.001172      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.001172      1  NaN",,
2021-4-2-17,2021-4-2-17,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2021-4-2-22,2021-4-2-22,0.0,0.0,"             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN",,
2021-4-2-23,2021-4-2-23,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN",,
2021-4-3-3,2021-4-3-3,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2021-4-3-10,2021-4-3-10,50.0,50.0,"                 Mean  Count       STD
smell value                           
4.0          0.010499      2  0.014848","                 Mean  Count       STD
smell value                           
4.0          0.010499      2  0.014848",,
2021-4-3-11,2021-4-3-11,33.33333333333333,33.33333333333333,"                 Mean  Count     STD
smell value                         
3.0          0.029242      1     NaN
4.0          0.002200      4  0.0044
5.0          0.000000      1     NaN","                 Mean  Count     STD
smell value                         
3.0          0.029242      1     NaN
4.0          0.002200      4  0.0044
5.0          0.000000      1     NaN",-0.7864083177262845,-0.7864083177262845
2021-4-3-12,2021-4-3-12,30.0,30.0,"                 Mean  Count       STD
smell value                           
2.0          0.000000      1       NaN
3.0          0.003565      2  0.005042
4.0          0.007380      3  0.012783
4.5          0.000000      1       NaN
5.0          0.000905      3  0.001568","                 Mean  Count       STD
smell value                           
2.0          0.000000      1       NaN
3.0          0.003565      2  0.005042
4.0          0.007380      3  0.012783
5.0          0.000905      3  0.001568
9.0          0.000000      1       NaN",-0.04386720677847121,-0.14313546388924572
2021-4-3-13,2021-4-3-13,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
4.0           0.0      3  0.0
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
4.0           0.0      2  0.0
5.0           0.0      1  NaN
8.0           0.0      1  NaN",,
2021-4-3-14,2021-4-3-14,100.0,100.0,"                 Mean  Count  STD
smell value                      
5.0          0.000009      1  NaN","                 Mean  Count  STD
smell value                      
5.0          0.000009      1  NaN",,
2021-4-3-15,2021-4-3-15,0.0,0.0,"             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN
4.0           0.0      1  NaN",,
2021-4-3-16,2021-4-3-16,25.0,25.0,"                 Mean  Count       STD
smell value                           
1.0          0.000002      2  0.000004
3.0          0.000000      2  0.000000","                 Mean  Count       STD
smell value                           
1.0          0.000002      2  0.000004
3.0          0.000000      2  0.000000",-0.5773502691896258,-0.5773502691896258
2021-4-3-17,2021-4-3-17,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.003221      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.003221      1  NaN",,
2021-4-3-18,2021-4-3-18,33.33333333333333,33.33333333333333,"                 Mean  Count  STD
smell value                      
4.0          0.000000      2  0.0
5.0          0.000185      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.000000      2  0.0
5.0          0.000185      1  NaN",0.9999999999999998,0.9999999999999998
2021-4-3-19,2021-4-3-19,25.0,25.0,"                 Mean  Count  STD
smell value                      
1.0          0.000269      1  NaN
4.0          0.000000      2  0.0
5.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000269      1  NaN
4.0          0.000000      2  0.0
5.0          0.000000      1  NaN",-0.9622504486493763,-0.9622504486493763
2021-4-3-21,2021-4-3-21,50.0,50.0,"                 Mean  Count  STD
smell value                      
4.0          0.000524      1  NaN
5.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.000524      1  NaN
5.0          0.000000      1  NaN",-1.0,-1.0
2021-4-3-22,2021-4-3-22,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      2  0.0
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      2  0.0
5.0           0.0      1  NaN",,
2021-4-3-23,2021-4-3-23,0.0,0.0,"             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN
3.0           0.0      2  0.0
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN
3.0           0.0      2  0.0
5.0           0.0      1  NaN",,
2021-4-4-1,2021-4-4-1,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN
5.0           0.0      3  0.0","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN
5.0           0.0      3  0.0",,
2021-4-4-3,2021-4-4-3,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN",,
2021-4-4-12,2021-4-4-12,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN",,
2021-4-4-16,2021-4-4-16,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN",,
2021-4-4-17,2021-4-4-17,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
