,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2022-5-1-0,2022-5-1-0,50.0,50.0,"                 Mean  Count  STD
smell value                      
1.0          0.011416      1  NaN
5.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.011416      1  NaN
5.0          0.000000      1  NaN",-1.0,-1.0
2022-5-1-2,2022-5-1-2,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2022-5-1-3,2022-5-1-3,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.000834      1  NaN
5.0          0.000004      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.000834      1  NaN
5.0          0.000004      1  NaN",-1.0,-1.0
2022-5-1-4,2022-5-1-4,66.66666666666666,66.66666666666666,"                 Mean  Count  STD
smell value                      
3.0          0.000003      1  NaN
4.0          0.000044      1  NaN
5.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000003      1  NaN
4.0          0.000044      1  NaN
5.0          0.000000      1  NaN",-0.05756939496828176,-0.05756939496828176
2022-5-1-7,2022-5-1-7,50.0,50.0,"                 Mean  Count     STD
smell value                         
4.0          0.002758      2  0.0039","                 Mean  Count     STD
smell value                         
4.0          0.002758      2  0.0039",,
2022-5-1-10,2022-5-1-10,100.0,100.0,"                 Mean  Count       STD
smell value                           
4.0          0.007976      2  0.002123","                 Mean  Count       STD
smell value                           
4.0          0.007976      2  0.002123",,
2022-5-1-12,2022-5-1-12,100.0,100.0,"                Mean  Count  STD
smell value                     
4.0          0.00316      1  NaN","                Mean  Count  STD
smell value                     
4.0          0.00316      1  NaN",,
2022-5-1-13,2022-5-1-13,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.005875      1  NaN
4.0          0.018122      1  NaN
5.0          0.003826      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.005875      1  NaN
4.0          0.018122      1  NaN
5.0          0.003826      1  NaN",-0.13253817687740252,-0.13253817687740252
2022-5-1-14,2022-5-1-14,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2022-5-1-15,2022-5-1-15,50.0,50.0,"                 Mean  Count  STD
smell value                      
3.0          0.000000      1  NaN
4.0          0.005218      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000000      1  NaN
4.0          0.005218      1  NaN",1.0,1.0
2022-5-1-16,2022-5-1-16,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.001459      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.001459      1  NaN",,
2022-5-1-20,2022-5-1-20,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000788      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000788      1  NaN",,
2022-5-1-21,2022-5-1-21,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.001037      1  NaN
5.0          0.000042      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.001037      1  NaN
5.0          0.000042      1  NaN",-1.0,-1.0
2022-5-1-23,2022-5-1-23,100.0,100.0,"                Mean  Count       STD
smell value                          
5.0          0.00525      2  0.004951","                Mean  Count       STD
smell value                          
5.0          0.00525      2  0.004951",,
2022-5-2-0,2022-5-2-0,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.004169      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.004169      1  NaN",,
2022-5-2-1,2022-5-2-1,100.0,100.0,"                 Mean  Count  STD
smell value                      
5.0          0.012654      1  NaN","                 Mean  Count  STD
smell value                      
5.0          0.012654      1  NaN",,
2022-5-2-5,2022-5-2-5,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2022-5-2-11,2022-5-2-11,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2022-5-2-13,2022-5-2-13,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
5.0           0.0      1  NaN",,
2022-5-2-15,2022-5-2-15,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.002858      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.002858      1  NaN",,
