,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2019-2-1-2,2019-2-1-2,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.001172      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.001172      1  NaN",,
2019-2-1-17,2019-2-1-17,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.003842      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.003842      1  NaN",,
2019-2-1-19,2019-2-1-19,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.004963      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.004963      1  NaN",,
2019-2-1-21,2019-2-1-21,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.001784      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.001784      1  NaN",,
2019-2-1-22,2019-2-1-22,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.001716      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.001716      1  NaN",,
2019-2-1-23,2019-2-1-23,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.000236      1  NaN
4.0          0.000216      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000236      1  NaN
4.0          0.000216      1  NaN",-1.0,-1.0
2019-2-2-1,2019-2-2-1,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN",,
2019-2-2-2,2019-2-2-2,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2019-2-2-3,2019-2-2-3,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2019-2-2-4,2019-2-2-4,50.0,50.0,"                 Mean  Count       STD
smell value                           
4.0          0.000195      2  0.000275
5.0          0.000037      2  0.000053","                 Mean  Count       STD
smell value                           
4.0          0.000195      2  0.000275
5.0          0.000037      2  0.000053",-0.4891496072433922,-0.4891496072433922
2019-2-2-5,2019-2-2-5,10.0,10.0,"                 Mean  Count       STD
smell value                           
3.0          0.000000      2  0.000000
4.0          0.000000      1       NaN
5.0          0.000166      7  0.000439","                 Mean  Count       STD
smell value                           
3.0          0.000000      2  0.000000
4.0          0.000000      1       NaN
5.0          0.000166      7  0.000439",0.2067245576486807,0.2067245576486807
2019-2-2-6,2019-2-2-6,66.66666666666666,66.66666666666666,"                 Mean  Count       STD
smell value                           
3.0          0.001634      2  0.001380
4.0          0.008022      2  0.011344
5.0          0.000411      2  0.000581","                 Mean  Count       STD
smell value                           
3.0          0.001634      2  0.001380
4.0          0.008022      2  0.011344
5.0          0.000411      2  0.000581",-0.0869628255880368,-0.0869628255880368
2019-2-2-7,2019-2-2-7,80.0,80.0,"                 Mean  Count       STD
smell value                           
1.0          0.004764      1       NaN
4.0          0.004309      2  0.006094
5.0          0.005925      2  0.006669","                 Mean  Count       STD
smell value                           
1.0          0.004764      1       NaN
4.0          0.004309      2  0.006094
5.0          0.005925      2  0.006669",0.08632298965028311,0.08632298965028311
2019-2-2-8,2019-2-2-8,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.003324      1  NaN
4.0          0.007448      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.003324      1  NaN
4.0          0.007448      1  NaN",0.9999999999999998,0.9999999999999998
2019-2-2-9,2019-2-2-9,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.028060      1  NaN
5.0          0.030902      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.028060      1  NaN
5.0          0.030902      1  NaN",1.0000000000000007,1.0000000000000007
2019-2-2-10,2019-2-2-10,60.0,60.0,"                 Mean  Count       STD
smell value                           
3.0          0.000000      1       NaN
4.0          0.006628      3  0.005761
5.0          0.020543      1       NaN","                 Mean  Count       STD
smell value                           
3.0          0.000000      1       NaN
4.0          0.006628      3  0.005761
5.0          0.020543      1       NaN",0.8481533064690383,0.8481533064690383
2019-2-2-11,2019-2-2-11,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.009260      1       NaN
4.0          0.019083      2  0.010913
5.0          0.014801      2  0.004666","                 Mean  Count       STD
smell value                           
3.0          0.009260      1       NaN
4.0          0.019083      2  0.010913
5.0          0.014801      2  0.004666",0.20533022933139128,0.20533022933139128
2019-2-2-12,2019-2-2-12,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.009939      1       NaN
4.0          0.004411      6  0.008338
5.0          0.009987      6  0.006576","                 Mean  Count       STD
smell value                           
3.0          0.009939      1       NaN
4.0          0.004411      6  0.008338
5.0          0.011570      5  0.005938
15.0         0.002071      1       NaN",0.2227543807766809,-0.1498857277672229
2019-2-2-13,2019-2-2-13,84.61538461538461,84.61538461538461,"                 Mean  Count       STD
smell value                           
3.0          0.000157      2  0.000171
5.0          0.001512     11  0.002515","                 Mean  Count       STD
smell value                           
3.0          0.000157      2  0.000171
5.0          0.000981     10  0.001894
10.0         0.006818      1       NaN",0.2163422501681005,0.6879358991058163
2019-2-2-14,2019-2-2-14,56.25,56.25,"                 Mean  Count       STD
smell value                           
3.0          0.000000      3  0.000000
4.0          0.000213      5  0.000445
5.0          0.009851      8  0.014502","                 Mean  Count       STD
smell value                           
3.0          0.000000      3  0.000000
4.0          0.000213      5  0.000445
5.0          0.009851      8  0.014502",0.40743271241441964,0.40743271241441964
2019-2-2-15,2019-2-2-15,42.857142857142854,42.857142857142854,"                 Mean  Count       STD
smell value                           
3.0          0.001407      2  0.001990
4.0          0.019212      2  0.019462
5.0          0.000000      3  0.000000","                 Mean  Count       STD
smell value                           
3.0          0.001407      2  0.001990
4.0          0.019212      2  0.019462
5.0          0.000000      3  0.000000",-0.13300845110564632,-0.13300845110564632
2019-2-2-16,2019-2-2-16,50.0,50.0,"                 Mean  Count  STD
smell value                      
2.0          0.000008      1  NaN
4.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
2.0          0.000008      1  NaN
8.0          0.000000      1  NaN",-1.0,-1.0000000000000002
2019-2-2-17,2019-2-2-17,40.0,40.0,"                     Mean  Count           STD
smell value                                   
2.0          2.026560e-03      1           NaN
5.0          4.762500e-07      4  9.525000e-07","                     Mean  Count           STD
smell value                                   
2.0          2.026560e-03      1           NaN
5.0          4.762500e-07      4  9.525000e-07",-0.9999995856033994,-0.9999995856033994
2019-2-2-18,2019-2-2-18,80.0,80.0,"                 Mean  Count       STD
smell value                           
4.0          0.000402      1       NaN
5.0          0.000790      4  0.001572","                 Mean  Count       STD
smell value                           
4.0          0.000402      1       NaN
5.0          0.000790      4  0.001572",0.12669698519714678,0.12669698519714678
2019-2-2-19,2019-2-2-19,66.66666666666666,66.66666666666666,"                 Mean  Count       STD
smell value                           
1.0          0.000061      2  0.000087
4.0          0.000004      1       NaN","                 Mean  Count       STD
smell value                           
1.0          0.000061      2  0.000087
4.0          0.000004      1       NaN",-0.47331022399816264,-0.47331022399816264
2019-2-2-20,2019-2-2-20,33.33333333333333,33.33333333333333,"                 Mean  Count  STD
smell value                      
3.0          0.000014      1  NaN
4.0          0.000000      1  NaN
5.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000014      1  NaN
4.0          0.000000      1  NaN
5.0          0.000000      1  NaN",-0.8660254037844387,-0.8660254037844387
2019-2-2-21,2019-2-2-21,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN",,
2019-2-2-22,2019-2-2-22,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.000007      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.000007      1  NaN",,
2019-2-2-23,2019-2-2-23,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2019-2-3-0,2019-2-3-0,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN
5.0           0.0      1  NaN",,
2019-2-3-2,2019-2-3-2,100.0,100.0,"               Mean  Count  STD
smell value                    
1.0          0.0001      1  NaN","               Mean  Count  STD
smell value                    
1.0          0.0001      1  NaN",,
2019-2-3-4,2019-2-3-4,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.056212      1       NaN
4.0          0.017420      1       NaN
4.5          0.025169      1       NaN
5.0          0.014618      4  0.010682","                 Mean  Count       STD
smell value                           
3.0          0.056212      1       NaN
4.0          0.017420      1       NaN
5.0          0.014618      4  0.010682
9.0          0.025169      1       NaN",-0.8127296567353672,-0.2694853413122918
2019-2-3-5,2019-2-3-5,88.88888888888889,88.88888888888889,"                 Mean  Count       STD
smell value                           
4.0          0.004823      4  0.008234
5.0          0.002674      5  0.001864","                 Mean  Count       STD
smell value                           
4.0          0.004823      4  0.008234
5.0          0.002697      4  0.002152
45.0         0.002582      1       NaN",-0.21235675572323048,-0.08100283443132256
2019-2-3-6,2019-2-3-6,37.5,37.5,"                 Mean  Count       STD
smell value                           
3.5          0.000000      1       NaN
4.0          0.000278      2  0.000394
5.0          0.006201      5  0.013534","                 Mean  Count       STD
smell value                           
4.0          0.000278      2  0.000394
5.0          0.007602      4  0.015203
7.0          0.000000      1       NaN
20.0         0.000597      1       NaN",0.28400097813135977,-0.12598667844190253
2019-2-3-7,2019-2-3-7,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      2  0.0","             Mean  Count  STD
smell value                  
5.0           0.0      2  0.0",,
2019-2-3-8,2019-2-3-8,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN",,
2019-2-3-9,2019-2-3-9,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      2  0.0","             Mean  Count  STD
smell value                  
5.0           0.0      2  0.0",,
2019-2-3-10,2019-2-3-10,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2019-2-3-11,2019-2-3-11,100.0,100.0,"                 Mean  Count       STD
smell value                           
4.0          0.003151      4  0.003764
5.0          0.008985      3  0.013283","                 Mean  Count       STD
smell value                           
4.0          0.003151      4  0.003764
5.0          0.008985      3  0.013283",0.3585974783320869,0.3585974783320869
2019-2-3-12,2019-2-3-12,93.33333333333333,93.33333333333333,"                 Mean  Count       STD
smell value                           
4.0          0.003594      3  0.003075
4.5          0.003460      1       NaN
5.0          0.004673     11  0.002749","                 Mean  Count       STD
smell value                           
4.0          0.002419      2  0.003261
5.0          0.004673     11  0.002749
8.0          0.005944      1       NaN
9.0          0.003460      1       NaN",0.1815019533564271,0.09934383890744364
2019-2-3-13,2019-2-3-13,86.20689655172413,86.20689655172413,"                 Mean  Count       STD
smell value                           
3.0          0.001330      5  0.001956
4.0          0.002484      9  0.002097
4.5          0.003621      2  0.000861
5.0          0.002330     13  0.002051","                 Mean  Count       STD
smell value                           
3.0          0.001330      5  0.001956
4.0          0.002484      9  0.002097
5.0          0.002308     12  0.002140
9.0          0.003621      2  0.000861
15.0         0.002601      1       NaN",0.15899824054118827,0.16232976107969696
2019-2-3-14,2019-2-3-14,96.15384615384616,96.15384615384616,"                 Mean  Count       STD
smell value                           
2.500000     0.002698      1       NaN
3.000000     0.003250      3  0.004983
3.666667     0.001024      1       NaN
4.000000     0.001569      8  0.002219
4.666667     0.002149      1       NaN
5.000000     0.000837     12  0.000917","                 Mean  Count       STD
smell value                           
3.0          0.003250      3  0.004983
4.0          0.001625      7  0.002390
5.0          0.000967      9  0.001049
10.0         0.000505      3  0.000534
11.0         0.001024      1       NaN
14.0         0.002149      1       NaN
15.0         0.002527      1       NaN
16.0         0.001170      1       NaN",-0.3439513198557962,-0.07635504763567946
2019-2-3-15,2019-2-3-15,76.92307692307693,76.92307692307693,"                 Mean  Count       STD
smell value                           
3.0          0.000784      6  0.000761
3.5          0.001338      1       NaN
4.0          0.003971      9  0.008778
5.0          0.004240     10  0.010696","                 Mean  Count       STD
smell value                           
3.0          0.000784      6  0.000761
4.0          0.003971      9  0.008778
5.0          0.004240     10  0.010696
7.0          0.001338      1       NaN",0.15672263538332518,0.09596713842941774
2019-2-3-16,2019-2-3-16,76.47058823529412,76.47058823529412,"                 Mean  Count       STD
smell value                           
3.0          0.000085      4  0.000166
4.0          0.000115      3  0.000186
5.0          0.000328     10  0.000622","                 Mean  Count       STD
smell value                           
3.0          0.000111      3  0.000193
4.0          0.000115      3  0.000186
5.0          0.000357      9  0.000652
6.0          0.000005      1       NaN
10.0         0.000068      1       NaN",0.22766019207596122,0.0021846043471774688
2019-2-3-17,2019-2-3-17,75.0,75.0,"                 Mean  Count       STD
smell value                           
1.0          0.000029      2  0.000028
4.0          0.008942      1       NaN
5.0          0.000000      1       NaN","                 Mean  Count       STD
smell value                           
1.0          0.000029      2  0.000028
4.0          0.008942      1       NaN
5.0          0.000000      1       NaN",0.4014142599430872,0.4014142599430872
