,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2020-7-1-morning,2020-7-1-morning,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
2.0           0.0      2  0.0
3.0           0.0      1  NaN
4.0           0.0      2  0.0","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
2.0           0.0      2  0.0
3.0           0.0      1  NaN
4.0           0.0      2  0.0",,
2020-7-1-afternoon,2020-7-1-afternoon,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
3.0           0.0      3  0.0
4.0           0.0      2  0.0
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
3.0           0.0      3  0.0
4.0           0.0      2  0.0
5.0           0.0      1  NaN",,
2020-7-2-morning,2020-7-2-morning,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      2  0.0
4.0           0.0      2  0.0","             Mean  Count  STD
smell value                  
3.0           0.0      2  0.0
4.0           0.0      2  0.0",,
2020-7-2-afternoon,2020-7-2-afternoon,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
2.0           0.0      2  0.0
3.0           0.0      4  0.0
5.0           0.0      2  0.0","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
2.0           0.0      2  0.0
3.0           0.0      2  0.0
5.0           0.0      2  0.0
6.0           0.0      2  0.0",,
2020-7-3-morning,2020-7-3-morning,0.0,0.0,"             Mean  Count  STD
smell value                  
3.000000      0.0      6  0.0
3.500000      0.0      1  NaN
4.000000      0.0     16  0.0
4.333333      0.0      1  NaN
4.500000      0.0      2  0.0
5.000000      0.0      8  0.0","             Mean  Count  STD
smell value                  
3.0           0.0      6  0.0
4.0           0.0     15  0.0
5.0           0.0      7  0.0
7.0           0.0      1  NaN
8.0           0.0      1  NaN
9.0           0.0      1  NaN
10.0          0.0      1  NaN
13.0          0.0      1  NaN
18.0          0.0      1  NaN",,
2020-7-3-afternoon,2020-7-3-afternoon,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      4  0.0
2.0           0.0      1  NaN
3.0           0.0      4  0.0
4.0           0.0      4  0.0
5.0           0.0      3  0.0","             Mean  Count  STD
smell value                  
1.0           0.0      4  0.0
2.0           0.0      1  NaN
3.0           0.0      4  0.0
4.0           0.0      4  0.0
5.0           0.0      3  0.0",,
2020-7-4-morning,2020-7-4-morning,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      2  0.0
2.0           0.0      1  NaN
3.0           0.0      2  0.0
4.0           0.0      4  0.0
5.0           0.0      2  0.0","             Mean  Count  STD
smell value                  
1.0           0.0      2  0.0
2.0           0.0      1  NaN
3.0           0.0      2  0.0
4.0           0.0      4  0.0
5.0           0.0      2  0.0",,
2020-7-4-afternoon,2020-7-4-afternoon,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
3.0           0.0      2  0.0
4.0           0.0      2  0.0
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
3.0           0.0      2  0.0
4.0           0.0      2  0.0
5.0           0.0      1  NaN",,
2020-7-5-morning,2020-7-5-morning,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
2.0           0.0      1  NaN
3.0           0.0      3  0.0
4.0           0.0      5  0.0
5.0           0.0      3  0.0","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
2.0           0.0      1  NaN
3.0           0.0      3  0.0
4.0           0.0      5  0.0
5.0           0.0      3  0.0",,
2020-7-5-afternoon,2020-7-5-afternoon,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
3.0           0.0      1  NaN
4.0           0.0      4  0.0","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN
3.0           0.0      1  NaN
4.0           0.0      4  0.0",,
